Kernel, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152, 4194304, 8388608, 16777216, 33554432
0, 0.05295, 0.05331, 0.04812, 0.05174, 0.04907, 0.05154, 0.05236, 0.05746, 0.05609, 0.42216, 0.41054, 0.41467, 0.41912, 0.42128, 0.43823, 0.43309, 0.44209, 0.82010, 0.86721, 0.98687, 1.24501, 1.79550, 2.64736, 4.17646, -1.00000, -1.00000
1, 0.04804, 0.04992, 0.05126, 0.04870, 0.04713, 0.04802, 0.05007, 0.05115, 0.05253, 0.39693, 0.41760, 0.41036, 0.41180, 0.41475, 0.41297, 0.41251, 0.43039, 0.79686, 0.82129, 0.88805, 1.01449, 1.27997, 1.75904, 2.85465, -1.00000, -1.00000
2, 0.05015, 0.04733, 0.05028, 0.05279, 0.05204, 0.04963, 0.04991, 0.04807, 0.06655, 0.40244, 0.39468, 0.40473, 0.41046, 0.41335, 0.41960, 0.40935, 0.42541, 0.76891, 0.79283, 0.84454, 0.97337, 1.20894, 1.69795, 2.64122, -1.00000, -1.00000
3, 0.05212, 0.04724, 0.04736, 0.05255, 0.05054, 0.05303, 0.05109, 0.04898, 0.04947, 0.04966, 0.40291, 0.39601, 0.39318, 0.39082, 0.40145, 0.39543, 0.40540, 0.41235, 0.42297, 0.79103, 0.87606, 1.00748, 1.37735, 1.86075, 2.80129, -1.00000
4, 0.05135, 0.05053, 0.07150, 0.04850, 0.05208, 0.05380, 0.05143, 0.04765, 0.05593, 0.05261, 0.41917, 0.41150, 0.41362, 0.41180, 0.41216, 0.44928, 0.45091, 0.47177, 0.47022, 0.87116, 0.91703, 1.01500, 1.20817, 1.56124, 2.34593, -1.00000
5, 0.05624, 0.04712, 0.05849, 0.05897, 0.05588, 0.05859, 0.05509, 0.06212, 0.06437, 0.05683, 0.41100, 0.40599, 0.40344, 0.40353, 0.40410, 0.41571, 0.41364, 0.42671, 0.44394, 0.82195, 0.85941, 0.95169, 1.11813, 1.48702, 2.24798, -1.00000
6, 0.05771, 0.04841, 0.05164, 0.06181, 0.07634, 0.05824, 0.07405, 0.06125, 0.05608, 0.05664, 0.41296, 0.41619, 0.42036, 0.41245, 0.40780, 0.41392, 0.41875, 0.42321, 0.42251, 0.42722, 0.43514, 0.47888, 0.53718, 0.67246, 0.95051, 1.48348
